Chemical Shift (ppm),Intensity,Integral
-2.182,-0.04,8.0
-2.181,-0.04,8.0
-2.18,-0.04,8.0
-2.179,-0.04,8.0
-2.178,-0.04,8.0
-2.177,-0.04,8.0
-2.176,-0.04,8.0
-2.175,-0.04,8.0
-2.174,-0.04,8.0
-2.173,-0.04,8.0
-2.172,-0.04,8.0
-2.171,-0.04,8.0
-2.17,-0.03,8.0
-2.169,-0.03,8.0
-2.168,-0.03,8.0
-2.167,-0.03,8.0
-2.166,-0.03,8.0
-2.165,-0.03,8.0
-2.164,-0.03,8.0
-2.163,-0.03,8.0
-2.162,-0.03,8.0
-2.161,-0.03,8.0
-2.16,-0.03,8.0
-2.159,-0.03,8.0
-2.158,-0.03,8.0
-2.157,-0.03,8.0
-2.156,-0.03,8.0
-2.155,-0.03,8.0
-2.154,-0.03,8.01
-2.153,-0.03,8.01
-2.152,-0.03,8.01
-2.151,-0.03,8.01
-2.15,-0.03,8.01
-2.149,-0.03,8.01
-2.148,-0.03,8.01
-2.147,-0.02,8.01
-2.146,-0.02,8.01
-2.145,-0.03,8.01
-2.144,-0.02,8.01
-2.143,-0.03,8.01
-2.142,-0.02,8.01
-2.141,-0.02,8.01
-2.14,-0.03,8.01
-2.139,-0.03,8.01
-2.138,-0.02,8.01
-2.137,-0.02,8.01
-2.136,-0.03,8.01
-2.135,-0.02,8.01
-2.134,-0.02,8.01
-2.133,-0.02,8.01
-2.132,-0.02,8.01
-2.131,-0.02,8.01
-2.13,-0.02,8.01
-2.129,-0.02,8.01
-2.128,-0.02,8.01
-2.127,-0.02,8.01
-2.126,-0.02,8.01
-2.125,-0.02,8.01
-2.124,-0.02,8.01
-2.123,-0.03,8.01
-2.122,-0.03,8.01
-2.121,-0.02,8.01
-2.12,-0.02,8.01
-2.119,-0.02,8.01
-2.118,-0.03,8.01
-2.117,-0.02,8.01
-2.116,-0.02,8.01
-2.115,-0.02,8.01
-2.114,-0.02,8.01
-2.113,-0.02,8.01
-2.112,-0.02,8.01
-2.111,-0.02,8.01
-2.11,-0.03,8.01
-2.109,-0.02,8.01
-2.108,-0.02,8.01
-2.107,-0.02,8.01
-2.106,-0.02,8.01
-2.105,-0.02,8.01
-2.104,-0.02,8.01
-2.103,-0.02,8.01
-2.102,-0.02,8.01
-2.101,-0.02,8.01
-2.1,-0.02,8.01
-2.099,-0.02,8.01
-2.098,-0.02,8.01
-2.097,-0.02,8.01
-2.096,-0.02,8.01
-2.095,-0.02,8.01
-2.09,-0.02,8.01
-2.089,-0.02,8.01
-2.088,-0.02,8.01
-2.087,-0.02,8.01
-2.086,-0.02,8.01
