Chemical Shift (ppm),Intensity
-2.7,-0.56
-1.6,-0.51
-1.3,-0.66
-0.5,-0.84
-0.4,-0.61
-0.1,-0.59
0.0,0.8
0.7,-0.59
0.8,-0.51
1.3,-0.81
1.4,-0.61
1.5,-0.64
1.8,-0.53
2.2,-0.75
2.4,-0.52
2.7,-1.03
3.0,0.83
4.2,-0.53
4.8,-0.7
5.0,0.58
7.0,-0.52
8.1,0.53
8.7,-0.56
8.8,0.69
9.4,-0.58
9.5,-0.61
10.0,-0.71
10.7,-0.52
11.1,-0.68
11.4,-1.0
11.5,-0.83
12.2,-0.58
12.7,0.65
13.1,-0.9
13.2,-0.67
13.3,-0.81
13.5,-0.64
13.7,0.56
14.2,-0.89
15.5,1.63
15.6,2.64
15.7,46.17
15.8,4.27
15.9,2.22
16.0,1.63
16.1,0.9
16.3,0.81
16.6,0.63
16.9,-0.95
17.3,0.72
18.7,0.61
19.4,-0.63
19.7,0.68
20.2,1.07
20.3,1.85
20.4,1.76
20.5,42.48
20.6,5.73
20.7,1.82
20.8,1.88
21.0,0.73
21.1,0.54
21.5,0.73
21.9,0.62
22.1,-0.51
22.7,-0.51
23.5,0.55
23.9,0.75
24.2,-1.04
24.3,-0.68
24.7,-0.62
25.3,-0.52
25.6,-0.71
25.8,-0.66
26.1,-0.82
26.4,-0.55
27.8,0.98
28.2,-0.55
28.7,-0.51
29.2,-0.85
29.7,0.76
29.8,-0.78
30.2,-1.0
30.9,0.79
31.0,1.37
31.1,4.01
31.2,67.51
31.3,8.83
31.4,2.04
31.5,0.98
31.7,0.51
32.3,0.56
32.5,0.53
32.8,-0.76
33.3,-0.64
33.6,-0.68
34.6,-0.64
36.0,0.61
37.1,-0.62
37.2,-0.87
37.7,-0.55
38.7,-0.58
40.2,0.86
40.8,-0.67
41.6,0.52
41.8,0.54
41.9,0.57
42.2,1.16
42.3,2.83
42.4,18.56
42.5,37.63
42.6,3.38
42.7,2.02
42.8,1.84
42.9,1.81
43.0,3.9
43.1,51.71
43.2,23.83
43.3,2.56
43.4,1.28
43.5,0.77
44.1,0.61
44.4,0.66
44.9,0.76
45.0,1.22
46.1,0.63
46.2,0.94
47.3,-0.64
47.7,0.54
48.5,0.64
48.7,-0.81
48.8,0.51
49.3,-0.53
50.3,-0.84
50.5,0.52
51.9,-0.61
52.1,-0.68
53.2,-0.7
54.7,-0.68
55.3,-0.67
55.4,-0.54
55.5,-0.69
55.6,-0.66
56.3,-1.03
57.8,0.57
58.8,-0.6
59.5,0.67
59.6,-0.55
60.2,0.53
60.5,-0.9
61.6,0.58
61.7,0.51
62.2,-0.82
62.5,0.59
63.5,0.53
64.0,-1.01
65.3,-0.53
66.3,-0.53
66.4,-0.88
67.0,-1.7
68.0,0.59
69.0,0.52
69.3,-0.8
69.9,0.6
70.2,0.51
70.3,0.56
71.6,-0.62
72.4,0.55
72.5,0.69
73.5,0.58
75.2,-0.65
76.4,1.73
76.5,5.39
76.6,5.83
76.7,11.99
76.8,100.0
76.9,10.51
77.0,71.26
77.1,42.96
77.2,10.39
77.3,95.1
77.4,5.02
77.5,2.01
77.6,1.29
77.7,1.21
78.1,0.95
78.2,0.57
78.3,0.76
79.1,0.64
79.9,0.95
80.6,0.61
80.7,1.01
81.4,0.64
81.7,1.08
82.0,-0.52
82.5,-0.83
82.6,-0.92
82.7,0.54
82.9,-0.57
83.9,0.59
84.1,-0.8
84.3,0.7
84.7,0.59
85.1,0.51
85.3,0.52
85.6,0.51
85.9,0.58
86.1,0.58
86.4,0.52
86.9,-0.56
88.6,1.04
89.7,-0.63
90.5,0.58
90.6,-0.65
91.1,0.65
91.5,0.53
92.2,-0.56
92.6,0.74
92.9,0.71
94.1,-1.04
94.3,-0.96
94.6,-0.59
94.8,-0.53
95.3,0.58
96.4,0.55
97.0,-0.67
97.6,0.58
97.8,-0.57
98.1,0.89
98.5,-0.54
99.1,-0.6
99.8,0.53
99.9,-0.67
100.7,0.8
100.8,-0.62
100.9,-0.63
101.6,0.53
102.2,-0.54
102.3,-0.52
102.4,-0.8
102.6,-0.63
102.9,-1.13
103.1,-0.64
103.6,0.54
105.6,0.77
107.4,0.87
107.5,0.69
107.9,-0.79
109.1,0.78
110.0,0.71
110.1,1.43
110.2,2.19
110.3,1.65
110.4,21.18
110.5,58.12
110.6,2.05
110.7,1.16
110.8,1.14
110.9,0.82
111.2,-0.52
111.4,0.52
112.1,-1.09
112.3,0.85
112.6,-0.57
113.1,-0.54
113.5,1.48
114.6,0.61
115.1,-0.83
115.7,-0.53
116.3,0.61
116.5,0.58
116.8,-0.93
117.0,-0.69
117.5,-0.83
118.0,-0.82
118.7,-0.76
119.6,-0.54
119.8,-0.56
120.2,-0.85
120.4,-1.07
121.4,0.59
121.9,-0.69
124.3,-0.79
124.5,-0.65
125.0,0.65
126.1,-0.87
126.6,0.55
126.9,0.61
127.4,0.6
128.3,-0.68
129.3,0.51
131.0,-0.88
132.5,-0.86
132.7,-0.58
133.7,-0.52
133.9,0.67
134.2,-0.7
135.2,0.56
135.3,1.05
135.4,15.69
135.5,0.76
135.9,-0.51
136.6,-0.73
138.8,-0.83
141.2,-0.59
141.5,-0.62
141.6,0.65
141.9,-0.67
142.1,-0.63
142.3,-0.51
142.6,0.53
142.9,0.75
143.9,0.63
144.4,1.17
144.5,1.69
144.6,47.02
144.7,10.99
144.8,1.73
144.9,1.91
145.0,0.56
145.1,0.89
146.4,0.72
146.7,16.47
146.8,1.56
146.9,0.52
147.2,0.77
147.3,0.66
147.7,-0.67
148.0,0.83
149.0,-0.93
149.3,-0.51
149.6,0.87
150.9,0.67
151.1,0.69
151.3,0.58
151.5,0.56
151.6,-0.92
152.1,-0.6
152.7,0.6
154.2,0.57
154.8,-0.52
155.1,-0.52
155.2,0.58
155.3,0.51
155.8,0.55
156.2,0.63
156.4,0.52
157.6,0.6
158.7,0.66
160.0,-0.56
161.0,-0.55
161.5,0.87
161.6,0.67
161.8,-0.99
163.4,0.51
163.7,-0.69
163.8,0.93
164.2,0.54
164.3,0.64
164.5,-0.67
164.7,0.54
165.0,-0.62
165.2,-0.6
166.5,0.62
167.0,-0.85
168.8,0.53
170.5,0.61
170.6,-0.56
171.4,-1.05
171.7,0.75
173.0,-0.95
174.1,-0.75
174.5,0.79
175.0,-0.59
176.9,0.92
177.3,-0.81
177.5,0.7
177.6,0.51
178.0,-0.86
178.2,0.75
178.5,0.72
180.1,0.67
181.1,0.59
182.3,0.6
182.4,0.73
183.0,0.7
183.4,0.56
184.5,-0.85
184.6,-0.77
185.0,-0.66
185.6,0.71
185.9,0.52
186.0,-0.71
187.0,-0.77
188.0,-0.58
188.5,0.62
188.7,-0.81
189.6,0.7
189.8,0.78
190.6,-0.65
190.7,0.67
191.5,0.83
191.7,-0.9
192.4,0.62
194.0,-0.55
194.1,-0.65
194.8,0.72
196.2,-0.72
197.6,0.52
198.3,-0.69
199.0,0.58
199.5,-0.58
199.8,13.63
199.9,1.2
200.3,0.58
200.5,-0.55
202.3,-0.6
202.4,0.64
202.6,0.6
203.6,0.65
203.7,-1.1
204.7,0.98
205.2,0.98
205.5,0.75
205.6,0.56
205.9,-0.57
206.1,0.67
206.8,-0.85
207.0,-0.67
207.3,-0.52
208.5,-0.72
208.6,0.51
208.7,1.0
209.0,-0.56
209.6,0.79
210.5,0.54
210.8,0.51
210.9,0.56
211.9,-0.77
212.5,-0.62
212.7,-0.57
212.9,0.52
213.4,-0.52
213.8,-0.58
214.0,0.71
214.2,-0.56
214.7,0.96
215.1,-0.57
215.6,-0.59
215.9,0.84
216.1,-0.73
216.2,0.81
216.7,0.64
216.8,0.79
217.2,-0.62
217.3,-0.55
217.8,0.65
218.4,-0.64
219.3,-0.78
219.5,0.68
219.9,-1.12
220.0,-0.6
221.0,-0.61
221.9,0.59
223.4,-1.2
223.5,-0.63
223.6,-0.86
224.5,-0.62
225.4,-0.52
226.2,0.51
226.3,-0.58
227.5,-0.66
227.6,-0.73
228.0,-0.96
228.2,-0.51
228.5,-0.93
229.2,-0.58
229.5,0.72
230.6,-0.61
231.1,0.63
231.3,0.55
231.4,-0.58
231.5,-0.72
231.8,0.56
233.2,0.69
233.5,-0.67
233.8,0.79
234.6,-0.54
234.8,-0.74
235.9,0.7
236.4,0.75
236.7,0.6
237.1,0.68
237.2,0.64
237.3,0.94
237.4,0.51
237.5,0.71
237.7,0.66
237.8,0.88
