Chemical Shift (ppm),Intensity,Integral
-0.121,0.02,14.0
-0.12,0.03,14.0
-0.119,0.02,14.0
-0.118,0.02,14.0
-0.065,0.02,14.0
-0.064,0.02,14.0
-0.063,0.02,14.0
-0.062,0.02,14.0
-0.061,0.02,14.0
-0.06,0.02,14.0
-0.05,0.02,14.0
-0.049,0.02,14.0
-0.048,0.02,14.0
-0.047,0.02,14.0
-0.046,0.02,14.0
-0.045,0.02,14.0
-0.044,0.02,14.0
-0.043,0.02,14.0
-0.042,0.02,14.0
-0.041,0.02,14.0
-0.04,0.02,14.0
-0.039,0.02,14.0
-0.038,0.03,14.0
-0.037,0.03,14.0
-0.036,0.03,14.0
-0.035,0.03,14.0
-0.034,0.03,14.0
-0.033,0.03,14.0
-0.032,0.04,14.0
-0.031,0.04,14.0
-0.03,0.04,14.0
-0.029,0.05,14.0
-0.028,0.05,14.0
-0.027,0.05,14.0
-0.026,0.05,14.0
-0.025,0.05,14.0
-0.024,0.06,14.0
-0.023,0.06,14.0
-0.022,0.07,14.0
-0.021,0.07,14.0
-0.02,0.08,14.0
-0.019,0.09,14.0
-0.018,0.1,14.0
-0.017,0.11,13.99
-0.016,0.12,13.99
-0.015,0.12,13.99
-0.014,0.13,13.99
-0.013,0.15,13.99
-0.012,0.17,13.99
-0.011,0.19,13.99
-0.01,0.22,13.99
-0.009,0.26,13.99
-0.008,0.33,13.99
-0.007,0.42,13.99
-0.006,0.48,13.99
-0.005,0.56,13.99
-0.004,0.76,13.98
-0.003,1.12,13.98
-0.002,1.93,13.97
-0.001,3.52,13.96
0.0,4.34,13.95
0.001,3.29,13.94
0.002,2.04,13.93
0.003,1.21,13.93
0.004,0.82,13.93
0.005,0.62,13.92
0.006,0.51,13.92
0.007,0.41,13.92
0.008,0.31,13.92
0.009,0.23,13.92
0.01,0.18,13.92
0.011,0.14,13.92
0.012,0.11,13.92
0.013,0.09,13.92
0.014,0.07,13.92
0.015,0.06,13.92
0.016,0.05,13.92
0.017,0.04,13.92
0.018,0.04,13.92
0.019,0.03,13.92
0.02,0.03,13.92
0.021,0.03,13.92
0.022,0.02,13.92
0.023,0.02,13.92
0.024,0.02,13.92
0.025,0.02,13.92
0.026,0.02,13.92
0.027,0.02,13.92
0.116,0.02,13.92
