Wavenumber (cm-1),Transmittance (%)
3794,52.328
3789,52.414
3784,52.51
3779,52.6
3774,52.696
3769,52.788
3764,52.88
3759,52.984
3754,53.086
3749,53.198
3744,53.302
3739,53.41
3734,53.536
3729,53.68
3724,53.83
3719,53.97
3714,54.12
3709,54.264
3704,54.416
3699,54.604
3694,54.796
3689,54.99
3684,55.18
3679,55.374
3674,55.568
3669,55.76
3664,55.956
3659,56.148
3654,56.342
3649,56.54
3644,56.732
3639,56.928
3634,57.12
3629,57.32
3624,57.528
3619,57.744
3614,57.962
3609,58.172
3604,58.392
3599,58.606
3594,58.826
3589,59.054
3584,59.296
3579,59.536
3574,59.78
3569,60.02
3564,60.262
3559,60.516
3554,60.826
3549,61.142
3544,61.456
3539,61.76
3534,62.068
3529,62.37
3524,62.67
3519,62.98
3514,63.268
3509,63.438
3504,63.542
3499,63.58
3494,63.53
3489,63.152
3484,60.538
3479,50.252
3474,42.022
3469,40.922
3464,30.874
3459,29.088
3454,40.12
3449,48.522
3444,52.076
3439,55.12
3434,57.686
3429,60.12
3424,62.18
3419,63.818
3414,64.914
3409,66.036
3404,67.256
3399,67.53
3394,64.312
3389,43.036
3384,30.798
3379,34.976
3374,37.006
3369,25.744
3364,16.382
3359,21.532
3354,28.834
3349,34.902
3344,39.182
3339,42.72
3334,46.236
3329,48.19
3324,49.71
3319,51.082
3314,52.27
3309,53.366
3304,54.21
3299,54.982
3294,55.53
3289,56.01
3284,56.414
3279,56.724
3274,56.876
3269,56.914
3264,56.532
3259,55.308
3254,54.248
3249,53.232
3244,51.396
3239,49.156
3234,46.324
3229,46.156
3224,47.812
3219,50.018
3214,50.986
3209,51.648
3204,52.276
3199,52.778
3194,53.03
3189,53.038
3184,53.016
3179,52.958
3174,52.892
3169,52.834
3164,52.776
3159,52.698
3154,52.594
3149,52.424
3144,52.186
3139,51.838
3134,51.494
3129,51.19
3124,50.842
3119,50.38
3114,49.812
3109,49.242
3104,48.52
3099,47.716
3094,46.97
3089,46.228
3084,45.462
3079,44.652
3074,43.84
3069,43.04
3064,42.254
3059,41.516
3054,40.822
3049,40.416
3044,40.588
3039,40.79
3034,40.82
3029,40.782
3024,40.614
3019,40.326
3014,39.914
3009,39.468
3004,38.968
2999,38.412
2994,37.832
2989,37.34
2984,36.886
2979,36.618
2974,36.406
2969,36.248
2964,36.202
2959,36.3
2954,36.446
2949,36.732
2944,37.108
2939,37.68
2934,38.162
2929,38.386
2924,38.404
2919,38.16
2914,37.94
2909,37.932
2904,38.03
2899,38.21
2894,38.394
2889,38.312
2884,37.986
2879,37.73
2874,37.514
2869,37.37
2864,37.306
2859,37.614
2854,37.946
2849,38.246
2844,38.41
2839,38.23
2834,37.946
2829,37.642
2824,37.404
2819,37.774
2814,38.196
2809,38.614
2804,39.088
2799,39.588
2794,40.088
2789,40.57
2784,41.048
2779,41.522
2774,42.048
2769,42.702
2764,43.376
2759,44.026
2754,44.604
2749,45.158
2744,45.654
2739,46.056
2734,46.278
2729,46.334
2724,46.396
2719,46.774
2714,47.068
2709,47.186
2704,47.2
2699,46.634
2694,44.49
2689,42.37
2684,40.326
2679,39.658
2674,39.494
2669,39.476
2664,39.536
2659,39.7
2654,40.176
2649,40.786
2644,41.528
2639,42.148
2634,42.408
2629,42.502
2624,43.074
2619,44.148
2614,45.068
2609,45.422
2604,45.26
2599,43.65
2594,42.24
2589,42.196
2584,42.824
2579,44.086
2574,44.308
2569,42.43
2564,40.178
2559,39.164
2554,38.774
2549,38.738
2544,38.992
2539,39.65
2534,40.534
2529,41.468
2524,42.38
2519,43.286
2514,44.142
2509,44.934
2504,45.704
2499,46.362
2494,47.01
2489,47.664
2484,48.316
2479,48.802
2474,49.222
2469,49.486
2464,49.67
2459,49.858
2454,50.07
2449,50.442
2444,50.858
2439,51.32
2434,51.796
2429,52.272
2424,52.736
2419,53.19
2414,53.65
2409,54.098
2404,54.5
2399,54.858
2394,55.216
2389,55.576
2384,55.962
2379,56.304
2374,56.624
2369,56.758
2364,56.788
2359,56.894
2354,57.074
2349,57.428
2344,57.652
2339,57.748
2334,57.93
2329,58.41
2324,59.11
2319,59.75
2314,60.374
2309,60.98
2304,61.54
2299,62
2294,62.44
2289,62.822
2284,63.198
2279,63.58
2274,63.98
2269,64.378
2264,64.78
2259,65.186
2254,65.61
2249,66.052
2244,66.486
2239,66.924
2234,67.358
2229,67.784
2224,68.186
2219,68.588
2214,68.99
2209,69.388
2204,69.778
2199,70.16
2194,70.55
2189,70.932
2184,71.318
2179,71.656
2174,71.978
2169,72.29
2164,72.59
2159,72.822
2154,73.058
2149,73.284
2144,73.524
2139,73.754
2134,74.012
2129,74.3
2124,74.612
2119,75.002
2114,75.442
2109,75.844
2104,76.08
2099,76.256
2094,76.486
2089,76.724
2084,76.968
2079,77.168
2074,77.258
2069,77.258
2064,77.264
2059,77.376
2054,77.678
2049,78.014
2044,78.41
2039,78.964
2034,79.526
2029,79.718
2024,79.496
2019,79.398
2014,79.656
2009,80.022
2004,80.468
1999,81.036
1994,80.016
1989,78.572
1984,78.07
1979,78.062
1974,78.126
1969,78.242
1964,78.544
1959,78.98
1954,79.446
1949,79.274
1944,79.358
1939,79.368
1934,79.322
1929,79.234
1924,78.998
1919,78.146
1914,77.182
1909,76.612
1904,77.53
1899,78.398
1894,79.038
1889,79.378
1884,79.528
1879,79.652
1874,79.742
1869,79.838
1864,79.936
1859,80.21
1854,80.568
1849,80.908
1844,81.254
1839,81.61
1834,81.948
1829,82.27
1824,82.568
1819,82.87
1814,83.144
1809,83.412
1804,83.672
1799,83.862
1794,83.944
1789,83.896
1784,83.808
1779,83.872
1774,84.328
1769,85.392
1764,86.398
1759,86.676
1754,85.924
1749,85.062
1744,86.32
1739,87.658
1734,88.692
1729,88.758
1724,88.094
1719,86.282
1714,82.4
1709,76.106
1704,65.246
1699,51.788
1694,39.92
1689,25.926
1684,17.764
1679,13.586
1674,12.266
1669,10.814
1664,9.666
1659,12.564
1654,25.198
1649,36.482
1644,31.838
1639,16.296
1634,19.718
1629,16.626
1624,13.068
1619,24.89
1614,29.158
1609,17.314
1604,7.064
1599,7.94
1594,17.43
1589,27.68
1584,37.974
1579,31.81
1574,26.928
1569,34.238
1564,41.602
1559,46.434
1554,50.494
1549,52.758
1544,54.52
1539,55.98
1534,55.538
1529,50.212
1524,47.124
1519,51.376
1514,56.512
1509,61.85
1504,66.938
1499,69.822
1494,71.612
1489,72.708
1484,73.89
1479,75.646
1474,76.846
1469,77.722
1464,78.018
1459,77.056
1454,67.832
1449,41.936
1444,19.422
1439,35.188
1434,49.786
1429,33.256
1424,19.294
1419,30.048
1414,37.004
1409,44.97
1404,49.548
1399,50.994
1394,53.182
1389,56.68
1384,60.71
1379,63.278
1374,65.374
1369,66.61
1364,67.394
1359,66.214
1354,59.032
1349,42.702
1344,40.648
1339,45.052
1334,32.57
1329,15.782
1324,14.424
1319,16.178
1314,10.694
1309,12.756
1304,23.87
1299,9.906
1294,8.59
1289,11.94
1284,22.302
1279,31.17
1274,41.464
1269,47.538
1264,54.568
1259,59.156
1254,62.828
1249,65.75
1244,68.538
1239,71.216
1234,73.832
1229,75.694
1224,77.486
1219,79.21
1214,80.382
1209,80.254
1204,79.218
1199,82.08
1194,84.916
1189,84.8
1184,72.92
1179,26.582
1174,6.088
1169,26.17
1164,47.958
1159,55.466
1154,60.158
1149,64.228
1144,66.25
1139,67.148
1134,63.862
1129,49.972
1124,62.854
1119,70.002
1114,72.482
1109,74.518
1104,75.434
1099,75.994
1094,76.412
1089,76.366
1084,76.098
1079,75.114
1074,74.398
1069,75.2
1064,76.856
1059,78.494
1054,79.71
1049,80.33
1044,80.416
1039,80.442
1034,80.62
1029,80.564
1024,80.576
1019,81.004
1014,81.1
1009,80.64
1004,80.812
999,80.95
994,80.614
989,80.478
984,80.276
