m/z,Intensity
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,1.3
27,1.9
28,4.5
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,3.5
38,8.3
39,17.8
40,2.4
41,5.9
42,1.3
43,0.0
44,0.0
45,4.3
46,2.3
47,0.0
48,0.0
49,0.0
50,3.9
51,3.3
52,7.1
53,2.4
54,2.1
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,1.5
61,3.1
62,5.7
63,11.3
64,6.5
65,36.9
66,6.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,1.8
75,1.1
76,0.0
77,0.0
78,0.0
79,0.0
80,2.6
81,2.1
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,2.3
91,4.4
92,39.2
93,4.8
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,2.7
109,2.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,100.0
121,8.5
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,93.0
138,7.3
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
